966.6,-3.9,-1.7,-6.8,0.68,0,1.3,2.3,0,-4.8,1,-9.4,15.3
968.2,-1.4,2.2,-5.2,0.71,0,0.8,3.3,0,-2.7,6.2,-8.5,13.8
972.7,-0.6,1.7,-2.4,0.74,0,0.8,2.3,0,-0.8,4.6,-3.2,15.2
972.7,-2.5,-0.6,-3.7,0.78,0.6,1.3,6,0,-3.1,0.2,-5.5,15.8
968.5,-3.6,-0.3,-4.9,0.85,0,0.5,3.7,1.4,-3.9,7.2,-8.1,16.7
969.8,-2.3,0.8,-7.3,0.87,0,1,3,0,-2.5,8.7,-9.9,16.9
972.7,-2.1,3,-5.4,0.74,0,1.3,5,7.5,-1.1,15,-7.7,14.4
970.2,-4.4,-0.7,-6.9,0.8,0,3.3,5,3,-4.9,9.2,-9.4,12.3
971,-2.6,4,-8.8,0.59,0,4,9.3,8.7,-2.9,14.5,-10.7,10.6
962.5,-2.1,6.3,-9.6,0.44,0,3.8,10,8.6,-3.1,15.5,-12.4,10.6
963.9,-0.7,3.4,-3.8,0.43,0,1.3,4,0,-3.1,10,-8.3,10.4
969.3,-3.4,0.2,-7.5,0.42,0,3,6,6,-5.3,9.8,-12,10.5
972.7,-3.3,2.4,-8.1,0.41,0,2,5.7,8.1,-3.8,16.2,-12.2,10.2
969.5,-4.1,3.4,-9.6,0.53,0,1,2.7,7.6,-4.2,16.4,-13.4,9.9
963.2,-2.1,7,-9.2,0.49,0,2,4.3,9.5,-3.2,18.2,-13.7,9.63
962.2,-2,5.8,-8.6,0.47,0,2,4,7.9,-3.6,14.8,-12.8,8.35
961.9,-2.1,6.2,-7.4,0.56,0,1.3,3.3,7.5,-2.2,17,-11.2,8.17
961.6,-1.6,6.1,-7.1,0.66,0,1.3,3,6.7,-2.2,14.8,-10.1,8.32
964.6,1.1,8.3,-6.3,0.43,0,2.5,7,8.3,-0.8,18.5,-10.4,8.36
961.2,-0.8,7.3,-6,0.51,0,2.3,5.7,6.8,-1.5,17.1,-9,9.81
960,-0.2,4.4,-5.5,0.57,0,2,3.3,0,-1.1,14,-8.8,10.6
965.2,2.3,7.1,-0.7,0.67,0,2.3,4,2.8,1.7,17.3,-4.3,10.9
968.8,-0.9,2.5,-3.7,0.85,2.5,1.3,3.3,0,-1.3,1.2,-3,11.3
971,-2.1,1.2,-4.6,0.89,0,1.3,2.7,3.6,0.1,12.7,-3.3,11.8
966.2,-1.8,0.5,-3,0.87,0,2,4,1.1,0.2,8.2,-2.3,11.6
965.4,-0.2,5.5,-2.7,0.85,0,2.5,5,1.3,0.1,13.4,-3.7,12.8
972.8,0.2,5.3,-3.2,0.48,0,2,5.3,6.3,0,19.9,-6.8,12.1
971,-1.6,5.6,-5.6,0.62,0,2.8,4.7,6.3,0.1,20.1,-8.7,10.6
972.3,0.6,6.7,-4,0.43,0,3,9,9.2,0.6,21.3,-7.5,7.18
967.8,-2.3,5.3,-7.7,0.59,0,1.5,3.7,8.8,-1.4,20.1,-11.1,4.1
964,0.7,8.3,-6.3,0.53,0,3.3,7,5.1,-1.8,20.3,-9.5,4.73
962.2,3.1,11.3,-4.4,0.39,0,2.8,9,9.3,0.4,22,-9.2,4.83
958.8,2.1,13.1,-4.5,0.42,0,1.8,4.7,9.1,1.5,27.2,-8.7,4.9
953.3,2.6,11.8,-3.7,0.48,0,1.5,4,9.4,2.2,27.5,-8.2,4.74
950.8,3.4,10.9,-2.4,0.5,0,1.8,3,8.1,2.4,23.1,-6.3,5.91
951.6,4.1,11.9,-3,0.62,0,1.8,3.7,8.6,3.1,23.6,-6.8,4.62
957.4,4.1,11.1,-1.2,0.55,0,1.8,6,3.8,2,19.8,-6.1,4.44
956.6,4.5,9.8,-1,0.57,0,2,4,1.1,4.6,17.8,-3.7,5.94
953.9,2.7,6.1,1.2,0.91,2.9,1.8,3,0,2.9,9.8,-1.9,8.82
956.6,4.6,10.8,0.3,0.73,0,2.5,6,8,3.8,18.6,-2.5,10.5
958.7,4.9,11.6,-0.7,0.54,0,3.3,6,7.7,4.7,22.6,-4.3,10.1
958.8,6.3,12.8,2.7,0.72,1.7,3.5,7.7,8.8,6.9,22.3,1,10.3
956.6,4.7,13.6,-0.7,0.53,0,3.3,6,9.3,4.6,24.6,-4.8,11.6
957.4,3.2,12,-2.6,0.6,0,2.3,5,8.7,4,23.6,-5.1,12.4
954.9,2.7,7,-0.3,0.71,0,1.8,3.3,0.3,2.7,19.1,-4,12.6
960.6,4.4,8.4,-0.1,0.37,0,6,12,5.3,4.3,18.3,-4.1,12.5
960.9,0.9,5.6,-1.1,0.29,0,8,12,2.8,2.7,16.6,-3.3,27
968.5,-5,-0.7,-6.1,0.83,2,3.5,11,0,-3.6,6.1,-7.4,25.3
961.1,-6.2,-4,-9.3,0.7,0,5,10,2.4,-4.9,4.5,-12.7,23.4
963.7,-4.6,1,-8.3,0.8,0,2.3,6,5.1,-2,12.5,-8.9,22
964,-0.8,5.5,-4.4,0.65,0,1.8,5.3,8.1,0.5,19.1,-7.3,22.4
